ngens,dimension,crossover_type,tsize,pmut,mean,std
5000,6,uniform_crossover,2,0.1,15.333708113007077,7.6425098891079495
5000,6,uniform_crossover,2,0.4,16.11842390320809,4.890487522069652
5000,6,uniform_crossover,2,0.7,13.930097585163946,2.883615800962575
5000,6,uniform_crossover,2,1.0,12.55905384632961,4.5615841412570735
5000,6,uniform_crossover,4,0.1,15.314488818530446,6.936590930891321
5000,6,uniform_crossover,4,0.4,11.552731892239157,2.854724144460736
5000,6,uniform_crossover,4,0.7,15.52192117503393,7.108098382024613
5000,6,uniform_crossover,4,1.0,11.149323708832217,7.838743920078806
5000,6,uniform_crossover,6,0.1,17.181049426338756,7.253986814379107
5000,6,uniform_crossover,6,0.4,14.418194630164942,7.280504160339722
5000,6,uniform_crossover,6,0.7,16.52009223965249,8.171252581826336
5000,6,uniform_crossover,6,1.0,12.548343100926411,3.6697780564642026
5000,6,uniform_crossover,8,0.1,15.292775917879188,5.381081860733983
5000,6,uniform_crossover,8,0.4,11.669202296496128,5.377304559637824
5000,6,uniform_crossover,8,0.7,14.756387037508043,5.319069715047661
5000,6,uniform_crossover,8,1.0,12.356061787687743,4.727448673047251
5000,6,order1_crossover,2,0.1,12.3710822258312,3.3580720434039684
5000,6,order1_crossover,2,0.4,16.41412820359354,3.824368217320386
5000,6,order1_crossover,2,0.7,21.141227766663494,7.4606833671357355
5000,6,order1_crossover,2,1.0,19.969547216829902,3.834695407547143
5000,6,order1_crossover,4,0.1,18.38563538255719,7.954175792773203
5000,6,order1_crossover,4,0.4,16.514671980115715,2.394252218475604
5000,6,order1_crossover,4,0.7,18.722306960534006,5.4248193264260065
5000,6,order1_crossover,4,1.0,19.105498273730994,2.7814101384276757
5000,6,order1_crossover,6,0.1,19.069401528199933,7.8553871464638485
5000,6,order1_crossover,6,0.4,12.975194572762115,4.869273158321083
5000,6,order1_crossover,6,0.7,21.326954232400684,5.835764058887575
5000,6,order1_crossover,6,1.0,20.9309667562248,7.70489935706503
5000,6,order1_crossover,8,0.1,14.835137302818726,5.375130025340965
5000,6,order1_crossover,8,0.4,16.88496301030827,2.7877586775885237
5000,6,order1_crossover,8,0.7,13.676423242454362,4.365857304100941
5000,6,order1_crossover,8,1.0,15.18773320021441,4.128866335986483
